         0         0
    1.0000         0
         0   -0.5000
   -1.0000   -0.5000
   -1.0000   -1.0000
         0   -1.0000
         0   -1.0000
    2.0000         0
    4.0000   -1.0000
    5.0000   -1.0000
    5.0000   -0.5000
    4.0000   -0.5000
    3.0000         0
    9.0000         0
    8.0000   -0.5000
    7.0000   -0.5000
    7.0000   -1.0000
    8.0000   -1.0000
    8.0000   -1.0000
   10.0000         0
   12.0000   -1.0000
   13.0000   -1.0000
   13.0000   -0.5000
   12.0000   -0.5000
   11.0000         0
12 0
6 12
3 10
5 10
