         0         0
    1.0000         0
         0   -0.6000
   -1.0000   -0.6000
   -1.0000   -1.1000
         0   -1.1000
         0   -1.1000
    2.0000         0
    4.0000   -1.1000
    5.0000   -1.1000
    5.0000   -0.6000
    4.0000   -0.6000
    3.0000         0
    9.0000         0
    8.0000   -0.6000
    7.0000   -0.6000
    7.0000   -1.1000
    8.0000   -1.1000
    8.0000   -1.1000
   10.0000         0
   12.0000   -1.1000
   13.0000   -1.1000
   13.0000   -0.6000
   12.0000   -0.6000
   11.0000         0
   17.0000         0
   16.0000   -0.6000
   15.0000   -0.6000
   15.0000   -1.1000
   16.0000   -1.1000
   16.0000   -1.1000
   18.0000         0
   20.0000   -1.1000
   21.0000   -1.1000
   21.0000   -0.6000
   20.0000   -0.6000
   19.0000         0
    20     0
    10    20
8 18
9 18
