     0     0
    13     0
    13    -3
    11    -3
    11    -9
    18    -9
    18    -3
    16    -3
    16     0
    26     0
    26     7
    28     7
    28    13
    21    13
    21     7
    23     7
    23     3
     9     3
     9     6
    11     6
    11    12
     4    12
     4     6
     6     6
     6     3
     0     3
     0     6
     -3    6
     -3    9
     -17   9
     -17   0
     -14   0
     -14   7
     -6    7
     -6    6
     -12   6
     -12   -9
      0    -9
      0    -6
      5    -6
      5    -2
      0    -2
